 wavelength   u             g             r            i            z            Y            VR             
  555          7.0403E-4     1.47255379    0.00925134   0.00177987   0.0020642    0.00100029   97.7871096552  
  556          7.46E-4       0.06147254    0.01617856   0.0017835    0.00200546   0.00118263   97.6926848276  
  557          6.3117E-4     0.03459481    0.02935513   0.00176079   0.00208441   0.00238494   97.536772069   
  558          7.1497E-4     0.0215848     0.05542036   0.00239009   0.00220278   0.0041471    97.3881272414  
  559          9.1862E-4     0.01479393    0.10773507   0.00329291   0.00194444   0.00410045   97.2821482759  
  560          8.7503E-4     0.01078282    0.21847904   0.00336166   0.00204787   0.00280682   97.349552069   
  561          8.279E-4      0.00800601    0.46435577   0.00239371   0.00202185   0.00196097   97.5131937931  
  562          6.1841E-4     0.00567709    1.04065681   0.00179073   0.00193646   0.00191153   97.6863382759  
  563          7.7503E-4     0.0039776     5.02462586   0.00176991   0.00188857   0.00222267   97.7941144828  
  564          0.00108079    0.00251106    9.64487552   0.00169628   0.00180061   0.0022322    97.7833727586  
  565          0.00117338    0.001575      17.77633828  0.00180175   0.0021082    0.00170691   97.6680858621  
  566          7.3131E-4     0.00126987    29.44712759  0.00166358   0.00209019   0.00120756   97.4912175862  
  567          3.3838E-4     7.8902E-4     43.28254828  0.00180708   0.00273612   4.5469E-4    97.3458413793  
  568          3.7659E-4     7.5385E-4     57.24347586  0.00166796   0.00484548   4.1558E-4    97.3333234483  
  569          3.0924E-4     5.677E-4      69.62389655  0.00183286   0.01315236   1.5632E-4    97.4540410345  
